shortsha	iso8601	disposition
5cbcf5e	2026-03-26T20:51:08-07:00	acknowledged
084da46	2026-03-26T20:56:12-07:00	acknowledged
7f92a20	2026-03-26T21:13:14-07:00	acknowledged
b9b4efc	2026-03-26T21:29:33-07:00	acknowledged
b6a2123	2026-03-26T21:42:15-07:00	acknowledged
724febf	2026-03-26T21:45:32-07:00	acknowledged
eff3e5c	2026-03-26T21:46:20-07:00	acknowledged
f134f42	2026-03-26T21:47:15-07:00	acknowledged
140142e	2026-03-26T22:01:04-07:00	acknowledged
7e4e8e3	2026-03-26T22:04:53-07:00	acknowledged
4a2b7f7	2026-03-26T22:08:48-07:00	acknowledged
527defc	2026-03-26T22:11:46-07:00	new
d2f4bf8	2026-03-26T22:15:52-07:00	new
012de8a	2026-03-26T22:19:29-07:00	new
8cd2578	2026-03-26T22:24:46-07:00	new
c5cf8ff	2026-03-26T22:28:54-07:00	new
909525c	2026-03-26T22:29:37-07:00	new
315c522	2026-03-26T22:31:45-07:00	new
d230fe4	2026-03-26T22:32:48-07:00	new
12a0a20	2026-03-26T22:37:13-07:00	new
5e30110	2026-03-26T22:50:46-07:00	new
75446c2	2026-03-26T22:57:26-07:00	new
35eae0e	2026-03-26T22:58:13-07:00	new
ed539b2	2026-03-26T22:59:20-07:00	new
1d909e6	2026-03-26T23:00:20-07:00	new
63307d5	2026-03-26T23:12:08-07:00	new
20c6982	2026-03-27T07:22:01-07:00	new
ad11167	2026-03-27T07:22:33-07:00	new
a416747	2026-03-27T07:43:09-07:00	new
423cc6e	2026-03-27T07:49:52-07:00	new
